SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2000,2000,PC,Percentage,0,Units,,,2.344868397,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2001,2001,PC,Percentage,0,Units,,,2.65,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2002,2002,PC,Percentage,0,Units,,,1.810358824,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2003,2003,PC,Percentage,0,Units,,,1.355553784,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2004,2004,PC,Percentage,0,Units,,,2.061206829,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2005,2005,PC,Percentage,0,Units,,,2.299137725,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2006,2006,PC,Percentage,0,Units,,,1.441546538,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2007,2007,PC,Percentage,0,Units,,,2.168555939,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2008,2008,PC,Percentage,0,Units,,,3.215951118,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2009,2009,PC,Percentage,0,Units,,,0.506309394,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2010,2010,PC,Percentage,0,Units,,,1.813531737,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2011,2011,PC,Percentage,0,Units,,,3.286583054,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2012,2012,PC,Percentage,0,Units,,,2.485675087,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2013,2013,PC,Percentage,0,Units,,,2.000157493,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2014,2014,PC,Percentage,0,Units,,,1.605805605,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2015,2015,PC,Percentage,0,Units,,,0.896565287,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2016,2016,PC,Percentage,0,Units,,,0.891592367,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,2.081268583,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,1.998381877,,
